Amsterdam= Helsinki 0.6791923642158508, Vienna 0.6228755712509155, Las-Vegas 0.6143172383308411, Florence 0.6095810532569885, rio-de-janeiro 0.6037969589233398, Delhi 0.5768492221832275, Warsaw 0.5705986618995667, agia-napa 0.5459631681442261, Glasgow 0.5216631293296814, Dubai 0.5003716349601746
Dead-Sea= agia-napa 0.7293290495872498, Omsk 0.7039101719856262, Dnipropetrovsk 0.6936665177345276, Ljubljana 0.6384196281433105, Delhi 0.6301045417785645, rio-de-janeiro 0.6251286864280701, Ushuaia 0.6203762292861938, Odessa 0.6149659752845764, Aosta 0.6052960753440857, Orlando 0.6005299091339111
Miami= Crete 0.7721323370933533, Seattle 0.7063621282577515, Dresden 0.7033941745758057, Sardinia 0.6813713312149048, Venice 0.6751490831375122, Nuremberg 0.6680691838264465, Calgary 0.6611142158508301, Rome 0.6424602270126343, Varna 0.6090083122253418, Santo-Domingo 0.6082192659378052
Zanzibar-archipelago= Split 0.7871304750442505, Batumi 0.7523968815803528, mumbai-bombay 0.7522162795066833, Varna 0.701749324798584, lemesos-limasol 0.701258659362793, Rosh-pina 0.6634222269058228, Bergamo 0.662149965763092, Rhodes 0.6570934057235718, Sevilla-province 0.6517382264137268, Dallas 0.6450022459030151
Sofia= Panama-City 0.7401523590087891, lefkosia-south-nicosia 0.7221556901931763, Chiang-Mai 0.7217657566070557, Corfu 0.7088059186935425, Tenerife 0.6719631552696228, Yekaterinburg 0.6666709184646606, Mexico-City 0.661149263381958, Acre 0.6589189767837524, Eilat 0.648064136505127, Tirana 0.6419764161109924
Frankfurt-region= Male 0.8099309206008911, Tashkent 0.7960838079452515, Mykonos 0.7081887722015381, Izmir 0.7052314281463623, Salzburg 0.6984642744064331, Geneva 0.6808441877365112, Astana 0.6639034748077393, Mombasa 0.6625953912734985, west-Kilimanjaro 0.6547001004219055, Kalamata 0.6153395175933838
Larnaka= Thessaloniki 0.8492658734321594, Kos 0.7942440509796143, lago-di-garda 0.7363552451133728, Turin 0.7043188214302063, Baden-Baden 0.6701341867446899, Niagara-Falls 0.6597757935523987, rostov-veliky 0.6491565108299255, Krasnodar 0.6422580480575562, Tallinn 0.6273328065872192, Colombo 0.5980628728866577
Catania= Rovaniemi 0.6900210380554199, Burgas 0.6670721769332886, Karpathos 0.6547830700874329, Varna 0.6545678377151489, Tenerife 0.6498920917510986, Ho-Chi-Minh-City 0.6309149265289307, Rome 0.6248155236244202, Bari 0.6060599088668823, las-palmas-de-gran-canaria 0.6053087711334229, Sevilla-province 0.5804541110992432
Verona= Philadelphia 0.4886232316493988, Nahariya 0.47492825984954834, Cairo 0.45568424463272095, Omsk 0.43030476570129395, Katowice 0.40816354751586914, Colombo 0.3937019109725952, kyiv 0.3819206953048706, Cluj-Napoca 0.37582409381866455, Worcester 0.3731091022491455, Kaliningrad 0.3658512830734253
Venice= Crete 0.6955766081809998, Ko-Samui 0.6814141273498535, Miami 0.6751490831375122, Rome 0.6735947132110596, Sardinia 0.6612909436225891, Seattle 0.6180206537246704, St-Petersburg 0.5650856494903564, Nuremberg 0.5374476909637451, Dresden 0.511143684387207, Split 0.5003414154052734
Las-Vegas= Vienna 0.6231699585914612, Amsterdam 0.6143172383308411, Dubai 0.6070001125335693, Helsinki 0.6024118065834045, Moscow 0.6015394926071167, Atlanta 0.5951539874076843, Austin 0.584138810634613, Glasgow 0.549274206161499, Winnipeg 0.5449895858764648, Acre 0.5312376022338867
Lisbon= Yerevan 0.7832815647125244, Kazan 0.716245710849762, Barcelona 0.7118545770645142, Guangzhou 0.7094136476516724, Shenzhen 0.7008271217346191, Istanbul 0.6922708749771118, rio-de-janeiro 0.6868539452552795, yangon-rangoon 0.6677151918411255, Phnom-Penh 0.6361719965934753, Bishkek 0.6348149180412292
Toronto= Singapore 0.6621917486190796, Dresden 0.5905170440673828, new-york-city 0.5793023109436035, Budapest 0.5785664319992065, Calgary 0.5697442889213562, Oslo 0.5636461973190308, Krasnodar 0.5520749092102051, San-Diego 0.5019750595092773, Manila 0.49066898226737976, rostov-veliky 0.48043912649154663
Brussels= Reykjavk 0.5399647951126099, London 0.5022650957107544, Paris 0.4976418912410736, Milan 0.4470641314983368, washington-dc 0.44054561853408813, Chisinau 0.4168861508369446, Eilat 0.41445815563201904, Edinburgh 0.413341224193573, Riga 0.40611162781715393, Iraq 0.39778459072113037
Tbilisi= Grenoble 0.6666486859321594, Valencia 0.5940585136413574, Palermo 0.5852518081665039, Marseille 0.5788139700889587, Fort-Lauderdale 0.5766671299934387, Naples 0.5699388980865479, Minsk 0.5597633123397827, brisbane 0.5542223453521729, Bratislava 0.5344657897949219, Bogota 0.5193220376968384
Zurich= Izmir 0.6892353296279907, Astana 0.6885330677032471, puerto-de-la-cruz 0.6463497877120972, Katowice 0.6368738412857056, Antalya 0.5938999056816101, Geneva 0.5733033418655396, Tashkent 0.5672999620437622, Male 0.5369520783424377, Frankfurt-region 0.5133193731307983, Almaty 0.5046584010124207
St-Petersburg= Rome 0.6579415798187256, Sardinia 0.6514890193939209, Seattle 0.6356232166290283, Split 0.5689009428024292, Venice 0.5650855898857117, Miami 0.5393457412719727, Rhodes 0.5386433601379395, Zanzibar-archipelago 0.5139949917793274, Rosh-pina 0.44609570503234863, Crete 0.4436013996601105
Buenos-Aires= rio-de-janeiro 0.658761739730835, Dead-Sea 0.5911033153533936, Tel-Aviv 0.5560109615325928, Istanbul 0.5042422413825989, Philadelphia 0.474302738904953, Lisbon 0.47082507610321045, Genoa 0.46495378017425537, Glasgow 0.45578449964523315, Barcelona 0.4541700482368469, Worcester 0.43683716654777527
San-Francisco= Worcester 0.6299028396606445, Montenegro 0.5823275446891785, Los-Angeles 0.5498826503753662, Hawaii 0.5152401924133301, Tokyo 0.4707331657409668, Glasgow 0.4572128355503082, Niagara-Falls 0.4561160206794739, Vancouver 0.4459114372730255, Tallinn 0.43736279010772705, Taipei 0.4287864565849304
Tenerife= Yekaterinburg 0.8774654865264893, el-Salvador 0.7595593929290771, las-palmas-de-gran-canaria 0.7224569916725159, Mexico-City 0.7176696062088013, Dallas 0.7125754356384277, Edmonton 0.6991382241249084, mumbai-bombay 0.6825818419456482, Panama-City 0.6759248971939087, Sofia 0.6719631552696228, Corfu 0.6516017913818359
Corfu= Sofia 0.7088060975074768, Panama-City 0.687606930732727, honolulu-and-waikiki 0.6743751764297485, Tenerife 0.6516017913818359, Burgas 0.6297481060028076, Chiang-Mai 0.6292933225631714, lefkosia-south-nicosia 0.606583297252655, Rovaniemi 0.5973111391067505, Winnipeg 0.5920321941375732, Denver 0.5796957015991211
Kos= Tallinn 0.7959177494049072, Larnaka 0.7942440509796143, Turin 0.7191789150238037, Thessaloniki 0.7090171575546265, Hanoi 0.6928247213363647, Sochi 0.6612108945846558, Baden-Baden 0.637040376663208, Niagara-Falls 0.6310513019561768, Costa-Brava 0.6150209307670593, Strasbourg 0.6129053235054016
Tokyo= Los-Angeles 0.594518780708313, Glasgow 0.5942771434783936, Moscow 0.5640115737915039, new-york-city 0.5633099675178528, Taipei 0.5587396025657654, Stockholm 0.543411374092102, Montenegro 0.5032286643981934, San-Francisco 0.4707331657409668, Austin 0.4627808928489685, Guatemala-City 0.4615814685821533
Geneva= Astana 0.7732905149459839, Male 0.6816567778587341, Frankfurt-region 0.6808441877365112, Bologna 0.5944291353225708, Tashkent 0.5904971957206726, Mombasa 0.5859162211418152, Zurich 0.5733034610748291, Grenoble 0.5282359719276428, Kalamata 0.5039876699447632, Marseille 0.49643999338150024
Odessa= Lima 0.8006871938705444, San-Diego 0.7717388868331909, Omsk 0.7062085866928101, Pisa 0.7012554407119751, Zagreb 0.6797351241111755, Hanoi 0.6681085228919983, Batumi 0.659305989742279, Liverpool 0.6575627326965332, agia-napa 0.6381325721740723, Dnipropetrovsk 0.6331560015678406
Batumi= Zanzibar-archipelago 0.7523968815803528, Innsbruck 0.7496381998062134, Dubrovnik 0.6802948713302612, lemesos-limasol 0.6758099794387817, Varna 0.6745994091033936, Bansko 0.6692113280296326, rostov-veliky 0.6622242331504822, Odessa 0.659305989742279, Karpathos 0.6592128872871399, Bari 0.655772864818573
Zagreb= Grenoble 0.7044960856437683, Odessa 0.6797351241111755, Marmaris 0.6634730100631714, Rhodes 0.6548829078674316, Santorini-thira 0.5947031378746033, Pisa 0.5858432650566101, Fort-Lauderdale 0.5857281684875488, brisbane 0.5824408531188965, Zanzibar-archipelago 0.579738974571228, Lima 0.5648767352104187
Dusseldorf= Zichron-Ya-akov 0.5600926876068115, Rhodes 0.516707181930542, san-jose 0.5066663026809692, Bremen-city 0.4959578514099121, Rosh-pina 0.4906909167766571, Porto 0.4652361571788788, baku-baki 0.4537626802921295, Nuremberg 0.451055109500885, Singapore 0.4420517683029175, Zakynthos 0.4370041489601135
Hong-Kong= Ko-Samui 0.47482022643089294, Sardinia 0.4712446630001068, Mykonos 0.4667655825614929, Seoul 0.4494629502296448, Sorrento 0.4476378262042999, Kalamata 0.4213089346885681, Singapore 0.41857701539993286, Nizhny-Novgorod 0.41287410259246826, Frankfurt-region 0.4117041528224945, Toronto 0.40883761644363403
Cancun= Almaty 0.6219677925109863, Skopje 0.5702499747276306, Katowice 0.5435807704925537, Colombia 0.5327105522155762, Guangzhou 0.5324844121932983, Lyon 0.48875313997268677, Phoenix 0.4755864143371582, Mykonos 0.4716343283653259, Sarajevo 0.4621647000312805, Beijing 0.4557173252105713
Havana= Madrid 0.5115965604782104, baku-baki 0.5101929306983948, Beijing 0.4940090775489807, Prague 0.48408883810043335, marrakesh 0.4651411771774292, Kosice 0.45616137981414795, Montreal 0.4259040951728821, Paris 0.4233824610710144, Porto 0.4167570471763611, Bilbao 0.4117494523525238
Ljubljana= Lima 0.7597674131393433, Winnipeg 0.7336498498916626, Pisa 0.7270990014076233, Orlando 0.6799553632736206, Genoa 0.6581213474273682, brisbane 0.646993100643158, Bergen 0.6436258554458618, Aosta 0.6420767307281494, Dead-Sea 0.638419508934021, Hanoi 0.6232987642288208
Tiberias= honolulu-and-waikiki 0.6535542011260986, Houston 0.6227133870124817, kyiv 0.6183831691741943, Nairobi 0.5797616243362427, Omsk 0.568586528301239, Winnipeg 0.568052351474762, lefkosia-south-nicosia 0.5609837174415588, Edmonton 0.5504909157752991, Oakland 0.5495837926864624, west-Kilimanjaro 0.5461695194244385
Boston= Manchester 0.6314980983734131, Rovaniemi 0.6060470342636108, Basel 0.5626422166824341, Denver 0.5496171712875366, Tirana 0.5392827987670898, Turin 0.5145597457885742, Hamburg 0.5119729042053223, Stockholm 0.5118310451507568, Liverpool 0.48303818702697754, Hanoi 0.4795558750629425
pafos= Orlando 0.6771048307418823, Niagara-Falls 0.6495795845985413, Lima 0.6091635227203369, San-Diego 0.6042240858078003, Cologne 0.5675358772277832, Odessa 0.5517513751983643, rostov-veliky 0.5475894212722778, Krasnodar 0.5404782891273499, Larnaka 0.5373623371124268, Kos 0.5311239957809448
Florence= Vienna 0.720134973526001, Istanbul 0.6333366632461548, Helsinki 0.6142765283584595, Amsterdam 0.6095810532569885, Naples 0.5895503163337708, rio-de-janeiro 0.588457465171814, Athens 0.5879302024841309, Colombia 0.5861647129058838, Atlanta 0.561172366142273, Lisbon 0.5523492097854614
Manila= Singapore 0.6666257381439209, san-jose 0.6646502614021301, rostov-veliky 0.6641098260879517, Edmonton 0.659925639629364, punta-del-este 0.6585291028022766, Zichron-Ya-akov 0.6563517451286316, Houston 0.638045072555542, Zakynthos 0.6006984710693359, Nizhny-Novgorod 0.5976477861404419, Ko-Samui 0.5669676065444946
Dubrovnik= Innsbruck 0.7988157272338867, lemesos-limasol 0.7607947587966919, Karpathos 0.6998087763786316, Toulouse 0.6804509162902832, Batumi 0.6802948713302612, Sevilla-province 0.6524329781532288, Krasnodar 0.6416670083999634, Bremen-city 0.6362441778182983, Calgary 0.6325857639312744, Bergamo 0.6208173036575317
Belgrade= Marseille 0.698543906211853, Palermo 0.6809993982315063, Eilat 0.6629037857055664, Sofia 0.6418825387954712, Tirana 0.6413252353668213, Goa 0.6129288077354431, Mombasa 0.6115097999572754, Bergen 0.6092736721038818, Winnipeg 0.6033634543418884, lefkosia-south-nicosia 0.6011908650398254
Dublin= Taipei 0.5099620819091797, Hamburg 0.4893478453159332, Kaliningrad 0.46860843896865845, Hawaii 0.43095117807388306, Boston 0.41699784994125366, Milan 0.397103488445282, Los-Angeles 0.35443758964538574, Guatemala-City 0.33246052265167236, phuket-province 0.31918397545814514, Helsinki 0.3185235857963562
Mexico-City= Panama-City 0.8004344701766968, las-palmas-de-gran-canaria 0.7478548288345337, Tenerife 0.7176696062088013, Yekaterinburg 0.7099573612213135, Sofia 0.6611493229866028, kathmandu 0.6436074376106262, kochi-cochin 0.6271468997001648, honolulu-and-waikiki 0.595531165599823, Dallas 0.5953735113143921, Cape-Town 0.5727225542068481
Beijing= Novosibirsk 0.7081246376037598, phuket-province 0.6974624991416931, Shanghai 0.6684572696685791, Guangzhou 0.631267249584198, Phnom-Penh 0.6018678545951843, Hanover 0.5832973718643188, Kazan 0.574806272983551, Lisbon 0.5747577548027039, baku-baki 0.5648218989372253, yangon-rangoon 0.5521399974822998
Costa-Brava= Hanoi 0.7507149577140808, Tallinn 0.7276406288146973, Bari 0.6901860237121582, Strasbourg 0.6828019022941589, Turin 0.6573774218559265, Karpathos 0.6396235227584839, Denver 0.6197641491889954, Kos 0.6150209307670593, Liverpool 0.6064910888671875, Omsk 0.5756405591964722
Naples= Athens 0.6909091472625732, Tuscany 0.6573619246482849, Dubai 0.6214268207550049, Minsk 0.6002280712127686, Florence 0.589550256729126, Taormina 0.5812398195266724, Atlanta 0.5765739679336548, Tbilisi 0.5699388980865479, Marseille 0.5645081996917725, Copenhagen 0.5584815740585327
Mykonos= Salzburg 0.7442163228988647, Mombasa 0.7084119915962219, Frankfurt-region 0.7081888914108276, kathmandu 0.6743924617767334, Kalamata 0.651664137840271, Palermo 0.6488056182861328, Grenoble 0.6441826820373535, Tashkent 0.6377171874046326, quito 0.5975601077079773, Marseille 0.5974733829498291
Zakynthos= mumbai-bombay 0.745399534702301, Rosh-pina 0.7195138931274414, Split 0.7134122848510742, lemesos-limasol 0.7126808166503906, punta-del-este 0.7065624594688416, kochi-cochin 0.6911690831184387, Edmonton 0.6828708052635193, Zichron-Ya-akov 0.6570515632629395, Dallas 0.6535360813140869, Houston 0.6382910013198853
Copenhagen= Glasgow 0.636486291885376, Naples 0.5584816336631775, Taormina 0.5203018188476562, Montenegro 0.5029718279838562, brisbane 0.47913306951522827, Los-Angeles 0.4583331346511841, Pisa 0.4256046414375305, Bratislava 0.41520974040031433, San-Francisco 0.4081606864929199, Athens 0.4027227759361267
Chisinau= Goa 0.5858607292175293, baku-baki 0.5776074528694153, Malta 0.5659582614898682, Hanover 0.5436202883720398, bucharest 0.531222403049469, Mexico-City 0.5037645101547241, Riga 0.4935043454170227, Cape-Town 0.49280595779418945, London 0.4790281653404236, Shanghai 0.4732488989830017
san-jose= Zichron-Ya-akov 0.8374789953231812, lemesos-limasol 0.6960523128509521, Manila 0.6646502614021301, Innsbruck 0.6539220213890076, Rhodes 0.6331079006195068, punta-del-este 0.6267013549804688, Toulouse 0.6035701036453247, Dubrovnik 0.6025688052177429, Zakynthos 0.5829692482948303, Split 0.5733619928359985
Johannesburg= Dnipropetrovsk 0.6867546439170837, Sarajevo 0.640533447265625, Ibiza 0.5856591463088989, west-Kilimanjaro 0.5811542868614197, Zichron-Ya-akov 0.5634207725524902, Osaka 0.534796416759491, Cluj-Napoca 0.5253976583480835, Omsk 0.48563337326049805, Seoul 0.4778434634208679, Frankfurt-region 0.46764296293258667
Nice= Phnom-Penh 0.5092872381210327, Shanghai 0.4793417453765869, Munich 0.46489042043685913, yangon-rangoon 0.4343560039997101, Madrid 0.4319216012954712, washington-dc 0.4261060357093811, Hanover 0.4180077314376831, Paris 0.40975889563560486, Havana 0.388786256313324, Milan 0.3846583366394043
Cologne= rostov-veliky 0.6614447832107544, Lapland 0.6410940289497375, Krasnodar 0.5921926498413086, Rosh-pina 0.5726953148841858, Zanzibar-archipelago 0.5694577097892761, pafos 0.5675358772277832, lago-di-garda 0.5674201846122742, punta-del-este 0.5667011737823486, Split 0.5635738968849182, Sevilla-province 0.5567047595977783
Basel= Vilnius 0.7482659816741943, Baden-Baden 0.6769182682037354, Palma-de-Mallorca 0.658758819103241, Turin 0.6461248397827148, Tirana 0.6388846635818481, Khabarovsk 0.6194593906402588, Denver 0.5989505052566528, Costa-Brava 0.5749373435974121, Kos 0.5671082735061646, Boston 0.5626422166824341
Delhi= Dead-Sea 0.6301045417785645, Amsterdam 0.5768492221832275, rio-de-janeiro 0.5680421590805054, Omsk 0.555176854133606, agia-napa 0.553316593170166, Dnipropetrovsk 0.5174036622047424, Taipei 0.4752033054828644, Portland 0.4741898775100708, Philadelphia 0.46476471424102783, Istanbul 0.4605766534805298
Vilnius= Basel 0.7482659816741943, Bratislava 0.7351436614990234, brisbane 0.7129671573638916, Tirana 0.7110278010368347, Santorini-thira 0.70076584815979, Iraq 0.660530686378479, Palma-de-Mallorca 0.6443634033203125, Kosice 0.6056441068649292, Bergen 0.5743072628974915, Marmaris 0.5633540153503418
Male= Frankfurt-region 0.8099309206008911, Tashkent 0.7462303638458252, Ibiza 0.6949925422668457, Geneva 0.6816567182540894, Salzburg 0.6651743054389954, Astana 0.658816933631897, Mombasa 0.6276227235794067, Izmir 0.6267389059066772, Bologna 0.6109650731086731, Palermo 0.607643723487854
Thessaloniki= Larnaka 0.8492658138275146, Turin 0.7515100240707397, lago-di-garda 0.7154818773269653, Kos 0.7090170979499817, rostov-veliky 0.7051043510437012, Rovaniemi 0.6741780042648315, Netanya 0.6664033532142639, Sevilla-province 0.6662598848342896, Strasbourg 0.6462893486022949, Tallinn 0.6410849690437317
Hamburg= Karpathos 0.6201221942901611, Burgas 0.6135158538818359, Bari 0.6036527156829834, Miami 0.517889678478241, Costa-Brava 0.5178300142288208, Milan 0.5130338668823242, Boston 0.5119729042053223, Eilat 0.5110365152359009, Rovaniemi 0.49773234128952026, Denver 0.4950675368309021
Guangzhou= Kazan 0.8537564873695374, Shenzhen 0.8484625816345215, Podgorica 0.8235831260681152, Bishkek 0.7663033604621887, piestany 0.7599015831947327, Almaty 0.7500331997871399, Phnom-Penh 0.7484022378921509, baku-baki 0.7366418242454529, Lisbon 0.7094136476516724, Prague 0.6980686187744141
rio-de-janeiro= Barcelona 0.7311493158340454, Lisbon 0.6868539452552795, Buenos-Aires 0.6587616801261902, Dead-Sea 0.6251286268234253, Amsterdam 0.6037969589233398, Florence 0.588457465171814, Delhi 0.5680421590805054, Istanbul 0.4882608950138092, Helsinki 0.4755490720272064, Vienna 0.4528713822364807
